Compound ID,ESOL predicted log solubility in mols per litre,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,smiles,Description
1-Bromoheptane,-3.366,1,179.101,0,0,5,0.0,-4.43,CCCCCCCBr,"cid is 244867,compound_name is 5,7-Diazaspiro[2.5]octane-4,6,8-trione,cid_paras is 244867,Molecular_Weight is 154.12,XLogP3 is -0.8,Hydrogen_Bond_Donor_Count is 2,Hydrogen_Bond_Acceptor_Count is 3,Rotatable_Bond_Count is 0,Exact_Mass is 154.03784206,Monoisotopic_Mass is 154.03784206,Topological_Polar_Surface_Area is 75.3,""Unit"":""Å²"",Heavy_Atom_Count is 11,Formal_Charge is 0,Complexity is 245,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
"3,4-Dimethylpyridine",-2.0669999999999997,1,107.156,0,1,0,12.89,0.36,Cc1ccncc1C,"cid is 12269,compound_name is 1-Chloro-3-iodobenzene,cid_paras is 12269,Molecular_Weight is 238.45,XLogP3 is 3.6,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 0,Rotatable_Bond_Count is 0,Exact_Mass is 237.90463,Monoisotopic_Mass is 237.90463,Topological_Polar_Surface_Area is 0,""Unit"":""Å²"",Heavy_Atom_Count is 8,Formal_Charge is 0,Complexity is 74.9,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
Fludrocortisone,-3.1719999999999997,1,380.4560000000002,3,4,2,94.83,-3.43,CC34CC(O)C1(F)C(CCC2=CC(=O)CCC12C)C3CCC4(O)C(=O)CO ,"cid is 7001,compound_name is 1-Bromonaphthalene,cid_paras is 7001,Molecular_Weight is 207.07,XLogP3 is 4.3,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 0,Rotatable_Bond_Count is 0,Exact_Mass is 205.97311,Monoisotopic_Mass is 205.97311,Topological_Polar_Surface_Area is 0,""Unit"":""Å²"",Heavy_Atom_Count is 11,Formal_Charge is 0,Complexity is 133,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Oilyliquid;mp=0.2-0.7degCor6.2degC(dependsonformofsolid);[MerckIndex]Thickcolorlessliquidwithapungentodor;[Hawley]Lightyellowoilyliquid;mp=-1degC;[MSDSonline]"
ethiofencarb,-2.855,1,225.313,1,1,4,38.33,-2.09,CCSCc1ccccc1OC(=O)NC ,"cid is 7937,compound_name is 2,6-Dimethylpyridine,cid_paras is 7937,Molecular_Weight is 107.15,XLogP3 is 1.7,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 1,Rotatable_Bond_Count is 0,Exact_Mass is 107.073499291,Monoisotopic_Mass is 107.073499291,Topological_Polar_Surface_Area is 12.9,""Unit"":""Å²"",Heavy_Atom_Count is 8,Formal_Charge is 0,Complexity is 62.8,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Lutidineappearsasacolorlessliquidwithapeppermintodor.Lessdensethanwater.Vaporsheavierthanair.Producestoxicoxidesofnitrogenduringcombustion.Usedtomakeotherchemicals."",""Markup"":[{""Start"":0,""Length"":8,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Lutidine"",""Type"":""PubChemInternalLink"",""Extra"":""CID-7937"",Color/Form is Oilyliq,Odor is Odorofpyridinepluspeppermint"",""Markup"":[{""Start"":8,""Length"":8,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/pyridine"",""Type"":""PubChemInternalLink"",""Extra"":""CID-1049,Boiling_Point is 144°C@760mmHg,Melting_Point is -5.8°C,Flash_Point is 33°C,Density is 0.9252@20°C/4°C"
Malonic acid diethylester,-1.413,1,160.16899999999998,0,0,4,52.60000000000001,-0.82,CCOC(=O)CC(=O)OCC,"cid is 6575,compound_name is Trichloroethylene,cid_paras is 6575,Molecular_Weight is 131.38,XLogP3 is 2.6,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 0,Rotatable_Bond_Count is 0,Exact_Mass is 129.914383,Monoisotopic_Mass is 129.914383,Topological_Polar_Surface_Area is 0,""Unit"":""Å²"",Heavy_Atom_Count is 5,Formal_Charge is 0,Complexity is 42.9,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Trichloroethyleneappearsasaclearcolorlessvolatileliquidhavingachloroform-likeodor.Denserthanwaterandisslightlysolubleinwater.Noncombustible.Usedasasolvent,fumigant,inthemanufactureofotherchemicals,andformanyotheruses."",""Markup"":[{""Start"":0,""Length"":17,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Trichloroethylene"",""Type"":""PubChemInternalLink"",""Extra"":""CID-6575"",Color/Form is Colorlessliquid(unlessdyedblue),Odor is Etherealodor,Boiling_Point is 189°Fat760mmHg(NTP,1992),Melting_Point is -99°F(NTP,1992),Flash_Point is greaterthan200°F(NTP,1992),Density is 1.46at68°F(USCG,1999)-Denserthanwater;willsink"",""Markup"":[{""Start"":41,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
d-Limonene,-3.429,1,136.238,0,1,1,0.0,-4.26,CC1=CCC(CC1)C(C)=C,"cid is 8640,compound_name is 1-Naphthylamine,cid_paras is 8640,Molecular_Weight is 143.18,XLogP3 is 2.2,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 1,Rotatable_Bond_Count is 0,Exact_Mass is 143.073499291,Monoisotopic_Mass is 143.073499291,Topological_Polar_Surface_Area is 26,""Unit"":""Å²"",Heavy_Atom_Count is 11,Formal_Charge is 0,Complexity is 133,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Alpha-naphthylamineappearsasacrystallinesolidorasoliddissolvedinaliquid.Insolubleinwateranddenserthanwater.Contactmayslightlyirritateskin,eyesandmucousmembranes.Maybeslightlytoxicbyingestion.Usedtomakeotherchemicals."",""Markup"":[{""Start"":0,""Length"":19,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Alpha-naphthylamine"",""Type"":""PubChemInternalLink"",""Extra"":""CID-8640"",Color/Form is Needlesfromethanol(aq)orether"",""Markup"":[{""Start"":13,""Length"":7,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/ethanol"",""Type"":""PubChemInternalLink"",""Extra"":""CID-702,Odor is Ammonia-likeodor.,Boiling_Point is 574°Fat760mmHg(NTP,1992),Melting_Point is 122°F(NTP,1992),Flash_Point is 315°F(NTP,1992),Density is 1.12at77°F(USCG,1999)-Denserthanwater;willsink"",""Markup"":[{""Start"":41,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
Indan,-3.057,2,118.17899999999996,0,2,0,0.0,-3.04,C1Cc2ccccc2C1,"cid is 7929,compound_name is m-Xylene,cid_paras is 7929,Molecular_Weight is 106.16,XLogP3 is 3.2,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 0,Rotatable_Bond_Count is 0,Exact_Mass is 106.078250319,Monoisotopic_Mass is 106.078250319,Topological_Polar_Surface_Area is 0,""Unit"":""Å²"",Heavy_Atom_Count is 8,Formal_Charge is 0,Complexity is 58.4,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is M-xyleneappearsasacolorlesswateryliquidwithasweetodor.Lessdensethanwater.Insolubleinwater.Irritatingvapor.(USCG,1999)"",""Markup"":[{""Start"":0,""Length"":8,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/M-xylene"",""Type"":""PubChemInternalLink"",""Extra"":""CID-7929"",Color/Form is Clear,colorlessliquid,Odor is Sweetodor,Boiling_Point is 282.4°Fat760mmHg(NTP,1992),Melting_Point is -54.2°F(NTP,1992),Flash_Point is 85°F(NTP,1992),Density is 0.864at68°F(USCG,1999)-Lessdensethanwater;willfloat"",""Markup"":[{""Start"":46,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
p-t-Butylphenol,-3.1919999999999997,1,150.22099999999998,1,1,0,20.23,-2.41,CC(C)(C)c1ccc(O)cc1,"cid is 590556,compound_name is 2-Pteridinol,cid_paras is 590556,Molecular_Weight is 148.12,XLogP3 is -0.8,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 3,Rotatable_Bond_Count is 0,Exact_Mass is 148.03851076,Monoisotopic_Mass is 148.03851076,Topological_Polar_Surface_Area is 67.2,""Unit"":""Å²"",Heavy_Atom_Count is 11,Formal_Charge is 0,Complexity is 203,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
Cyclopropyl-5-spirobarbituric acid,-0.088,1,154.125,2,2,0,75.27,-1.886,O=C2NC(=O)C1(CC1)C(=O)N2 ,"cid is 887,compound_name is Methanol,cid_paras is 887,Molecular_Weight is 32.042,XLogP3 is -0.5,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 1,Rotatable_Bond_Count is 0,Exact_Mass is 32.026214747,Monoisotopic_Mass is 32.026214747,Topological_Polar_Surface_Area is 20.2,""Unit"":""Å²"",Heavy_Atom_Count is 2,Formal_Charge is 0,Complexity is 2,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Methanolappearsasacolorlessfairlyvolatileliquidwithafaintlysweetpungentodorlikethatofethylalcohol.Completelymixeswithwater.Thevaporsareslightlyheavierthanairandmaytravelsomedistancetoasourceofignitionandflashback.Anyaccumulationofvaporsinconfinedspaces,suchasbuildingsorsewers,mayexplodeifignited.Usedtomakechemicals,toremovewaterfromautomotiveandaviationfuels,asasolventforpaintsandplastics,andasaningredientinawidevarietyofproducts."",""Markup"":[{""Start"":0,""Length"":8,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Methanol"",""Type"":""PubChemInternalLink"",""Extra"":""CID-887"",Color/Form is Colorlessliquid,Odor is Slightalcoholicodorwhenpure;repulsive,pungentodorwhencrude,Boiling_Point is 148.3°Fat760mmHg(NTP,1992),Melting_Point is -144°F(NTP,1992),Flash_Point is 52°F(NTP,1992),Density is 0.792at68°F(USCG,1999)-Lessdensethanwater;willfloat"",""Markup"":[{""Start"":46,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
m-Chloroiodobenzene,-4.3839999999999995,1,238.455,0,1,0,0.0,-3.55,Clc1cccc(I)c1,"cid is 2164,compound_name is Amobarbital,cid_paras is 2164,Molecular_Weight is 226.27,XLogP3 is 2.1,Hydrogen_Bond_Donor_Count is 2,Hydrogen_Bond_Acceptor_Count is 3,Rotatable_Bond_Count is 4,Exact_Mass is 226.13174244,Monoisotopic_Mass is 226.13174244,Topological_Polar_Surface_Area is 75.3,""Unit"":""Å²"",Heavy_Atom_Count is 16,Formal_Charge is 0,Complexity is 303,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Amobarbitalisawhitecrystallinesolidwithnoodorandaslightlybittertaste.(NTP,1992)"",""Markup"":[{""Start"":0,""Length"":11,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Amobarbital"",""Type"":""PubChemInternalLink"",""Extra"":""CID-2164,Color/Form is Crystals,Odor is Odorless,Melting_Point is 313to316°F(NTP,1992)"
1-Bromonapthalene,-4.434,1,207.07,0,2,0,0.0,-4.35,Brc1cccc2ccccc12,"cid is 6569,compound_name is Methyl Ethyl Ketone,cid_paras is 6569,Molecular_Weight is 72.11,XLogP3 is 0.3,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 1,Rotatable_Bond_Count is 1,Exact_Mass is 72.057514874,Monoisotopic_Mass is 72.057514874,Topological_Polar_Surface_Area is 17.1,""Unit"":""Å²"",Heavy_Atom_Count is 5,Formal_Charge is 0,Complexity is 38.9,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Methylethylketoneappearsascolorlessfairlyvolatileliquidwithapleasantpungentodor.Flashpoint20°F.Vaporsheavierthanair.Doesnotreactwithwaterormanycommonmaterials.Stableinnormaltransportation.Irritatesthenose,eyes,andthroat.Combustionmayproducetoxicmaterials.Density6.7lb/gal.Usedasasolvent,formakingotherchemicals,andforproductionofwaxfrompetroleum."",""Markup"":[{""Start"":0,""Length"":19,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Methyl%20ethyl%20ketone"",""Type"":""PubChemInternalLink"",""Extra"":""CID-6569"",Color/Form is Colorlessliquid,Odor is Acetone-likeodor,Boiling_Point is 175.3°Fat760mmHg(NTP,1992),Melting_Point is -123.3°F(NTP,1992),Flash_Point is 26°F(NTP,1992),Density is 0.806at68°F(USCG,1999)-Lessdensethanwater;willfloat"",""Markup"":[{""Start"":46,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
trans-2-Pentene ,-2.076,1,70.135,0,0,1,0.0,-2.54,CC/C=C/C,"cid is 90590,compound_name is Fenfuram,cid_paras is 90590,Molecular_Weight is 201.22,XLogP3 is 2.2,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 2,Rotatable_Bond_Count is 2,Exact_Mass is 201.078978594,Monoisotopic_Mass is 201.078978594,Topological_Polar_Surface_Area is 42.2,""Unit"":""Å²"",Heavy_Atom_Count is 15,Formal_Charge is 0,Complexity is 224,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
"2,6-Dimethylpyridine",-2.0980000000000003,1,107.156,0,1,0,12.89,0.45,Cc1cccc(C)n1,"cid is 5604,compound_name is 7-Deazadenosine,cid_paras is 5604,Molecular_Weight is 266.25,XLogP3 is -1.3,Hydrogen_Bond_Donor_Count is 4,Hydrogen_Bond_Acceptor_Count is 7,Rotatable_Bond_Count is 2,Exact_Mass is 266.10150494,Monoisotopic_Mass is 266.10150494,Topological_Polar_Surface_Area is 127,""Unit"":""Å²"",Heavy_Atom_Count is 19,Formal_Charge is 0,Complexity is 334,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 4,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
Trichloroethylene,-2.312,1,131.389,0,0,0,0.0,-1.96,ClC=C(Cl)Cl,"cid is 5054,compound_name is Resorcinol,cid_paras is 5054,Molecular_Weight is 110.11,XLogP3 is 0.8,Hydrogen_Bond_Donor_Count is 2,Hydrogen_Bond_Acceptor_Count is 2,Rotatable_Bond_Count is 0,Exact_Mass is 110.036779430,Monoisotopic_Mass is 110.036779430,Topological_Polar_Surface_Area is 40.5,""Unit"":""Å²"",Heavy_Atom_Count is 8,Formal_Charge is 0,Complexity is 64.9,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Resorcinolisaverywhitecrystallinesolidthatbecomespinkonexposuretolightifnotcompletelypure.Burnsalthoughignitionisdifficult.Densityapproximately1.28g/cm3.Irritatingtoskinandeyes.Toxicbyskinabsorption.Usedtomakeplasticsandpharmaceuticals."",""Markup"":[{""Start"":0,""Length"":10,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Resorcinol"",""Type"":""PubChemInternalLink"",""Extra"":""CID-5054,Color/Form is Whiteneedle-likecrystals,Odor is Faint,characteristicodor,Boiling_Point is 531to536°Fat760mmHg(NTP,1992),Melting_Point is 228to232°F(NTP,1992),Flash_Point is 261°F(NTP,1992),Density is 1.2at68°F(USCG,1999)-Denserthanwater;willsink"",""Markup"":[{""Start"":40,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
1-Napthylamine,-2.721,1,143.189,1,2,0,26.02,-1.92,Nc1cccc2ccccc12,"cid is 8103,compound_name is 1-Hexanol,cid_paras is 8103,Molecular_Weight is 102.17,XLogP3 is 2,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 1,Rotatable_Bond_Count is 4,Exact_Mass is 102.104465066,Monoisotopic_Mass is 102.104465066,Topological_Polar_Surface_Area is 20.2,""Unit"":""Å²"",Heavy_Atom_Count is 7,Formal_Charge is 0,Complexity is 27.4,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Hexanolsappearsasaclearcolorlessliquidmixtureofisomericsix-carbonalcoholswithsimilarchemicalproperties.Vaporsareheavierthanair.Usedtomakepharmaceuticalsandasasolvent."",""Markup"":[{""Start"":69,""Length"":6,""URL"":""https://pubchem.ncbi.nlm.nih.gov/element/Carbon"",""Type"":""PubChemInternalLink"",""Extra"":""Element-Carbon,Color/Form is Colorlessliquid,Odor is Characteristic;sweetalcohol;pleasant,Boiling_Point is 314.8°Fat760mmHg(USCG,1999),Melting_Point is -48.3°F(USCG,1999),Flash_Point is 145°F(USCG,1999),Density is 0.85at68°F(USCG,1999)-Lessdensethanwater;willfloat"",""Markup"":[{""Start"":45,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
m-Xylene ,-3.035,1,106.168,0,1,0,0.0,-2.82,Cc1cccc(C)c1,"cid is 10977,compound_name is 1-Chloropentane,cid_paras is 10977,Molecular_Weight is 106.59,XLogP3 is 2.6,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 0,Rotatable_Bond_Count is 3,Exact_Mass is 106.0549280,Monoisotopic_Mass is 106.0549280,Topological_Polar_Surface_Area is 0,""Unit"":""Å²"",Heavy_Atom_Count is 6,Formal_Charge is 0,Complexity is 19.9,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Amylchlorideappearsasaclearcolorlesstolight-brownliquidwithanaromaticodor.Flashpointmayvaryfrom35to54°F.Lessdensethanwaterandinsolubleinwater.Hencefloatsonwater.Vaporsareheavierthanair.Vaporsmaybenarcoticinhighconcentrations."",""Markup"":[{""Start"":0,""Length"":13,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Amyl%20chloride"",""Type"":""PubChemInternalLink"",""Extra"":""CID-10977"",Color/Form is Liquid,Odor is Sweetodor,Boiling_Point is 226°Fat760mmHg(USCG,1999),Melting_Point is -146°F(USCG,1999),Flash_Point is 34°F(USCG,1999),Density is 0.8834at68°F(USCG,1999)-Lessdensethanwater;willfloat"",""Markup"":[{""Start"":47,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
2-hydroxypteridine,-1.404,1,148.125,1,2,0,71.79,-1.947,Oc2ncc1nccnc1n2,"cid is 7845,compound_name is 1,3-Butadiene,cid_paras is 7845,Molecular_Weight is 54.09,XLogP3 is 2,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 0,Rotatable_Bond_Count is 1,Exact_Mass is 54.0469501914,Monoisotopic_Mass is 54.0469501914,Topological_Polar_Surface_Area is 0,""Unit"":""Å²"",Heavy_Atom_Count is 4,Formal_Charge is 0,Complexity is 21,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Butadieneisacolorlessgaswithanaromaticodor.Itisshippedasaliquefiedgasunderitsvaporpressure.Contactwiththeliquidcancausefrostbite.Itiseasilyignited.Itsvaporsareheavierthanairandaflamecanflashbacktothesourceofleakveryeasily.Itcanasphyxiatebythedisplacementofair.Itmustbeshippedinhibitedasbutadieneisliabletopolymerization.Ifpolymerizationoccursinthecontainer,itmayviolentlyrupture.Underprolongedexposuretofireorintenseheatthecontainersmayruptureviolentlyandrocket.Itisusedtomakesyntheticrubberandplastics,andtomakeotherchemicals."",""Markup"":[{""Start"":0,""Length"":9,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Butadiene"",""Type"":""PubChemInternalLink"",""Extra"":""CID-7845"",Color/Form is Colorlessgas...[Note:Aliquidbelow24degreesF.Shippedasaliquefiedcompressedgas],Odor is MIldlyaromaticodor,Boiling_Point is 24.1°Fat760mmHg(NTP,1992),Melting_Point is -164°F(NTP,1992),Flash_Point is -105°F(NTP,1992),Density is 0.621at68°F(USCG,1999)-Lessdensethanwater;willfloat"",""Markup"":[{""Start"":46,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
Methanol,0.441,1,32.042,1,0,0,20.23,1.57,CO,"cid is 7997,compound_name is Propyl acetate,cid_paras is 7997,Molecular_Weight is 102.13,XLogP3 is 1.2,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 2,Rotatable_Bond_Count is 3,Exact_Mass is 102.068079557,Monoisotopic_Mass is 102.068079557,Topological_Polar_Surface_Area is 26.3,""Unit"":""Å²"",Heavy_Atom_Count is 7,Formal_Charge is 0,Complexity is 59.1,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is N-propylacetateappearsasaclearcolorlessliquidwithapleasantodor.Flashpoint58°F.Lessdensethanwater,Vaporsareheavierthanair."",""Markup"":[{""Start"":0,""Length"":16,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/N-propyl%20acetate"",""Type"":""PubChemInternalLink"",""Extra"":""CID-7997"",Color/Form is Colorlessliquid,Odor is Pleasantodor,Boiling_Point is 214.9°Fat760mmHg(USCG,1999),Melting_Point is -139°F(USCG,1999),Flash_Point is 58°F(USCG,1999),Density is 0.886at68°F(USCG,1999)-Lessdensethanwater;willfloat"",""Markup"":[{""Start"":46,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
Amobarbital,-2.312,1,226.276,2,1,4,75.27000000000001,-2.468,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,"cid is 14305,compound_name is 5,6,7,8-Tetrahydro-2-naphthol,cid_paras is 14305,Molecular_Weight is 148.20,XLogP3 is 2.9,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 1,Rotatable_Bond_Count is 0,Exact_Mass is 148.088815002,Monoisotopic_Mass is 148.088815002,Topological_Polar_Surface_Area is 20.2,""Unit"":""Å²"",Heavy_Atom_Count is 11,Formal_Charge is 0,Complexity is 133,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
2-Butanone,-0.491,1,72.107,0,0,1,17.07,0.52,CCC(=O)C,"cid is 6580,compound_name is 2-Chloroacetamide,cid_paras is 6580,Molecular_Weight is 93.51,XLogP3 is -0.5,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 1,Rotatable_Bond_Count is 1,Exact_Mass is 92.9981414,Monoisotopic_Mass is 92.9981414,Topological_Polar_Surface_Area is 43.1,""Unit"":""Å²"",Heavy_Atom_Count is 5,Formal_Charge is 0,Complexity is 44.9,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Colorlesstopaleyellowcrystals;[HSDB],Color/Form is Crystalsfromwater,Odor is Characteristicodor,Boiling_Point is Approximately225°C(decomposes),Melting_Point is 119-120°C,Flash_Point is 170°C,Density is Relativedensityofthevapour/air-mixtureat20°C(air=1):1.00"
