smiles,FDA_APPROVED,CT_TOX,PubchemCID,pos
C(C[NH3+])C(O)(P(=O)([O-])[O-])P(=O)([O-])[O-],1,0,7048569,-7.692307692221444e-06 -7.692307692253468e-06 -7.692307692311116e-06
C(C[NH3+])C[NH2+]CCSP(=O)([O-])[O-],1,0,29927142,-9.25185853854297e-18 8.333333333387927e-06 8.333333333332416e-06
C(CC(C(F)F)(C(=O)[O-])[NH3+])C[NH3+],1,0,25202558,-3.700743415417188e-17 1.850371707708594e-17 -8.33333333335728e-06
C(CC(O)(P(=O)([O-])[O-])P(=O)([O-])[O-])C[NH3+],1,0,7048550,-7.1428571428087754e-06 7.142857142889564e-06 -7.142857142840496e-06
C(CC(=O)[O-])C(=O)[O-],1,0,160419,-1.2499999999998623e-05 -1.2500000000009899e-05 1.0408340855860843e-17
C(CC(=O)[O-])C(=O)C[NH3+],1,0,7048523,0.0 1.1111111111087529e-05 -1.270925879969119e-18
C(CC(=O)[O-])CO,1,0,3037032,-6.344131569286608e-17 1.428571428574939e-05 -1.428571428571423e-05
C(CC(=O)N)[C@@H](C(=O)[O-])[NH3+],1,0,6992086,4.4408920985006264e-17 1.0000000000010001e-05 8.326672684688674e-18
C(CC(=O)N[C@@H](CSSC[C@@H](C(=O)NCC(=O)[O-])NC(=O)CC[C@@H](C(=O)[O-])[NH3+])C(=O)NCC(=O)[O-])[C@@H](C(=O)[O-])[NH3+],1,0,40467895,
C(CCC(=O)[O-])CC[NH3+],1,0,517030,-1.1111111111085216e-05 -2.312964634635743e-17 1.1111111111111237e-05
C(CCCC(=O)[O-])CCCC(=O)[O-],1,0,3801344,7.692307692289765e-06 -7.692307692294034e-06 -1.2009624064454818e-18
C(CN(CC(=O)[O-])CC(=O)[O-])[NH+](CC(=O)[O-])CC(=O)[O-],1,0,25201827,-4.4408920985006264e-17 -2.2204460492503132e-17 1.1102230246251566e-17
C(CN(CC[NH+](CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])[NH+](CC(=O)[O-])CC(=O)[O-],1,0,134820103,
C(CNCC[NH2+]CCN)[NH3+],1,0,0,
C(CO)N(c1c(c(c(c(c1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I)C(=O)CO,1,0,3741,9.09090909080716e-06 2.6914497566670462e-17 3.030303030295968e-06
C(CS(=O)(=O)[O-])S,1,0,4077,9.516197353929913e-17 7.93016446160826e-18 1.428571428571073e-05
C(CS)[NH3+],1,0,3799953,2.5000000000025002e-05 -5.551115123125783e-17 -2.4999999999997247e-05
C(=O)([O-])[O-],1,0,19660,2.4999999999997247e-05 2.7755575615628914e-17 2.5e-05
C(=O)([O-])P(=O)([O-])[O-],1,0,3414,1.4285714285680992e-05 2.8571428571441534e-05 1.4285714285705092e-05
C(=O)(N)N,1,0,1176,-6.938893903907228e-18 2.5000000000050003e-05 1.3552527156068805e-20
C(=O)(N)NO,1,0,3657,2.0000000000020002e-05 1.999999999997837e-05 0.0
C(OC(C(F)(F)F)C(F)(F)F)F,1,0,5206,-3.700743415417188e-17 8.333333333355545e-06 -4.625929269271485e-18
C/[NH+]=C\1/CN(C(=c2cc(ccc2=N1)Cl)c3ccccc3)[O-],1,0,0,
C/C=C(/C(=C/C)/c1ccc(cc1)O)\c2ccc(cc2)O,1,0,0,
C/C=C/C1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](c3ccc(cc3)O)[NH3+])SC1)C(=O)[O-],1,0,0,
C/C=C\1/C(=O)N[C@H](C(=O)O[C@H]\2CC(=O)N[C@@H](C(=O)N[C@H](CSSCC/C=C2)C(=O)N1)C(C)C)C(C)C,1,0,0,
c1(c(nc(c(n1)Cl)N)N)C(=O)NC(=[NH2+])N,1,0,6992023,-2.960594732333751e-17 -1.4802973661668754e-17 -3.180326372624146e-19
C1[C@@H]([C@@H]2[C@H](O1)[C@@H](CO2)O[N+](=O)[O-])O,1,0,27661,-3.416070845000482e-17 8.540177112501205e-18 1.708035422500241e-17
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],1,0,51432351,6.250000000040945e-06 -6.250000000082578e-06 -3.1249999999649614e-06
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1NC(=O)[C@H](CC[NH3+])O)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C[NH3+])O)O)O)[NH3+],1,0,90657305,2.500000000016378e-06 4.999999999988347e-06 2.7755575615628915e-18
C1[C@@H]([C@H]([C@@H]([C@H]([NH+]1CCO)CO)O)O)O,1,0,40473182,6.344131569286608e-17 -7.142857142899972e-06 -2.7755575615628914e-17
C1[C@@H]([C@H](O[C@H]1N2C=NC(=NC2=O)N)CO)O,0,1,451668,-5.551115123125783e-17 -6.249999999971556e-06 1.2499999999995154e-05
C1[C@@H](CC[C@H](C1)C(=O)[O-])C[NH3+],1,0,1549136,0.0 9.090909090895474e-06 -6.308085367188389e-18
C1[C@@H](NC(=[NH+][C@H]1O)N)[C@H]2C(=O)NC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N/C(=C\\NC(=O)N)/C(=O)N2)CO)CO)NC(=O)C[C@H](CCC[NH3+])[NH3+],1,0,0,
C1[C@@H]2C[C@@H]2N([C@@H]1C#N)C(=O)[C@H](C34CC5CC(C3)CC(C5)(C4)O)[NH3+],1,0,0,
C1[C@@H]2N(C1=O)[C@H](/C(=C/CO)/O2)C(=O)[O-],1,0,0,
C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C[NH3+])O)O)[NH3+])O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O[C@@H]4[C@@H]([C@H]([C@@H]([C@@H](O4)C[NH3+])O)O)[NH3+])O)O)[NH3+],1,0,23278715,4.761904761872517e-06 2.380952380967979e-06 4.761904761893664e-06
C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C[NH3+])O)O)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)[NH3+])O)[NH3+],1,0,25200943,2.6914497566670462e-17 6.060606060544836e-06 -6.0606060605969825e-06
C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)[NH3+])O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O[C@@H]4[C@@H]([C@H]([C@@H]([C@@H](O4)C[NH3+])O)O)[NH3+])O)O)[NH3+],1,0,92136216,2.3809523810525674e-06 2.3809523810102733e-06 -2.114710523095536e-17
C1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2CO[C@H]([C@@H]([C@H]2OS(=O)(=O)[O-])OS(=O)(=O)[O-])O)OS(=O)(=O)[O-])OS(=O)(=O)[O-])O,1,0,0,
C1[C@H]([C@@H]2[C@H](O1)[C@H](CO2)O)O,1,0,12597,-9.999999999998898e-06 0.0 -9.999999999976694e-06
C1[C@H]([C@@H]2[C@H](O1)[C@H](CO2)O[N+](=O)[O-])O[N+](=O)[O-],1,0,6883,-6.249999999985434e-06 -5.551115123125783e-17 6.938893903907228e-18
C1[C@H](C(=O)NO1)[NH3+],1,0,7045654,1.4285714285744433e-05 -2.8571428571409563e-05 -1.4285714285724607e-05
C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)[O-])NC(=O)N2,1,0,6560210,1.6653345369377348e-16 6.249999999983699e-06 6.249999999995842e-06
c1[nH]c(=O)c2c(n1)n(cn2)[C@H]3CC[C@H](O3)CO,1,0,135398739,5.88235294124113e-06 1.1764705882351646e-05 -5.8823529411823536e-06
c1[nH]c2c(n1)[nH]c(nc2=S)N,1,0,2723601,9.090909090887903e-06 -2.0185873175002847e-17 -9.856383386231859e-21
c1[nH]c2c(n1)[nH]cnc2=S,1,0,667490,-9.999999999976694e-06 4.4408920985006264e-17 0.0
c1c([n+](c(nc1N2CCCCC2)N)[O-])N,1,0,4201,-6.666666666695539e-06 -1.4802973661668754e-17 7.401486830834377e-18
c1c([nH]cn1)C[C@@H](C(=O)N2CCC[C@H]2C(=O)N)NC(=O)[C@@H]3CCC(=O)N3,1,0,638678,-8.540177112501205e-18 3.846153846144883e-06 -1.2810265668751807e-17
c1c([nH]cn1)CC[NH3+],1,0,25201573,-1.2500000000109646e-05 -1.2499999999998623e-05 -1.250000000001944e-05
c1c(c([nH]c(=O)n1)N)F,1,0,3366,1.1111111111099094e-05 -2.4671622769447922e-17 -1.111111111111111e-05
c1c(c(c(c(c1Cl)Cl)Cc2c(c(cc(c2Cl)Cl)Cl)O)O)Cl,1,0,3598,0.0 9.523809523803189e-06 4.76190476188309e-06
c1c(c(c(c(c1I)NC(=O)CCCCC(=O)Nc2c(cc(c(c2I)C(=O)[O-])I)I)I)C(=O)[O-])I,1,0,139291707,8.823529411757204e-06 3.918434204559376e-17 2.94117647057485e-06
c1c(c(c(c(c1I)NC(=O)CCOCCOCCOCCOCCC(=O)Nc2c(cc(c(c2I)C(=O)[O-])I)I)I)C(=O)[O-])I,1,0,0,
c1c(c(cc(c1Cl)Cl)Cl)OCC#CI,1,0,0,
c1c(c(cc(c1F)F)F)C[C@H](CC(=O)N2CCn3c(nnc3C(F)(F)F)C2)[NH3+],1,0,36687804,3.571428571578851e-06 3.5714285713964574e-06 -7.1428571428732075e-06
c1c(c(nc(=O)n1[C@@H]2CS[C@@H](O2)CO)N)F,1,0,60877,2.7755575615628914e-17 2.7755575615628914e-17 6.250000000008636e-06
c1c(c(=O)[nH]c(=O)[nH]1)F,1,0,3385,2.1587669923266933e-17 -2.4671622769447922e-17 -1.1111111111111098e-05
c1c(c(=O)[nH]c(=O)[nH]1)N(CCCl)CCCl,1,0,6194,6.6666666667991595e-06 -6.666666666680735e-06 3.515706244646329e-17
c1c(c(=O)[nH]c(=O)n1[C@H]2C[C@@H]([C@H](O2)CO)O)C(F)(F)F,1,0,6256,-4.4408920985006264e-17 4.999999999977245e-06 5.000000000003613e-06
c1c(c(=O)[nH]c(=O)n1[C@H]2C[C@@H]([C@H](O2)CO)O)F,1,0,5790,-1.1764705882377768e-05 1.1764705882385932e-05 -5.8823529411594955e-06
c1c(c(=O)[nH]c(=O)n1[C@H]2C[C@@H]([C@H](O2)CO)O)I,1,0,5905,5.882352941188884e-06 -5.882352941157353e-06 -1.1764705882341849e-05
C1=C(C(=O)NC(=O)N1)F,0,1,3385,2.1587669923266933e-17 -2.4671622769447922e-17 -1.1111111111111098e-05
c1c(cc(c(c1Cl)NC2=[NH+]CCN2)Cl)N,1,0,6921705,6.666666666562311e-06 -1.3333333333317062e-05 9.25185853854297e-18
c1c(cc(c(c1I)Oc2cc(c(c(c2)I)[O-])I)I)C[C@@H](C(=O)[O-])[NH3+],1,0,0,
c1c(cc(c(c1I)Oc2cc(c(c(c2)I)[O-])I)I)C[C@H](C(=O)[O-])[NH3+],1,0,0,
c1c(cc(c(c1NC(=O)C(=O)[O-])Cl)NC(=O)C(=O)[O-])C#N,1,0,0,
c1c(cc(c(c1O)O)O)C(=O)Oc2cc(cc(c2O)O)C(=O)OC[C@@H]3[C@H]([C@@H]([C@H]([C@@H](O3)OC(=O)c4cc(c(c(c4)OC(=O)c5cc(c(c(c5)O)O)O)O)O)OC(=O)c6cc(c(c(c6)OC(=O)c7cc(c(c(c7)O)O)O)O)O)OC(=O)c8cc(c(c(c8)OC(=O)c9cc(c(c(c9)O)O)O)O)O)OC(=O)c1cc(c(c(c1)OC(=O)c1cc(c(c(c1)O)O)O)O)O,1,0,16129778,
c1c(cc(c(c1S(=O)(=O)N)Cl)Cl)S(=O)(=O)N,1,0,3038,-6.249999999952474e-06 6.249999999971556e-06 -5.366800753803247e-18
C1C(N(C2=C(N1)NC(=NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-].[Ca+2],0,1,135403647,
C1C(N(C2=C(N1)NC(=NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,0,1,135403648,2.941176470659749e-06 -5.882352941228069e-06 5.882352941194598e-06
c1c(nc(s1)[NH+]=C(N)N)CSCCC(=NS(=O)(=O)N)N,1,0,0,
c1c(nc(s1)N)/C(=C/CC(=O)[O-])/C(=O)N[C@H]2[C@@H]3N(C2=O)C(=CCS3)C(=O)[O-],1,0,0,
C1C(O1)CCl,1,0,7835,0.0 2.2204460492503132e-17 0.0
c1c2c([nH]n1)ncnc2O,1,0,135401907,-9.99999999995449e-06 0.0 -1.0000000000000018e-05
c1c2c(c(c(c1[131I])[O-])[131I])Oc3c(cc(c(c3[131I])[O-])[131I])C24c5c(c(c(c(c5Cl)Cl)Cl)Cl)C(=O)O4,1,0,0,
c1c2c(c(c(c1F)N3CCCC[C@H](C3)[NH3+])Cl)n(cc(c2=O)C(=O)[O-])C4CC4,1,0,0,
c1c2c(cc(c1Cl)S(=O)(=O)N)S(=O)(=O)NC(N2)C(Cl)Cl,1,0,5560,9.999999999932286e-06 -4.999999999988347e-06 -5.898059818321144e-18
c1c2c(cc(c1Cl)S(=O)(=O)N)S(=O)(=O)NC(N2)C3CC4CC3C=C4,1,0,2910,1.8503717077085943e-16 -4.166666666647704e-06 4.625929269271485e-18
c1c2c(cc(c1Cl)S(=O)(=O)N)S(=O)(=O)NCN2,1,0,3639,5.88235294124113e-06 5.224578939412501e-17 -7.142979018728028e-18
c1c2c(cc(c1F)N3CC[NH2+]CC3)n(cc(c2=O)C(=O)[O-])C4CC4,1,0,4011971,1.2500000000044883e-05 -4.166666666744849e-06 -9.830099697201907e-18
C1C2CC3CC1CC(C2)(C3)[NH3+],1,0,3776755,-9.09090909090809e-06 2.0185873175002847e-17 -9.09090909092323e-06
c1c2=N/C(=C/3\C=CON3)/N=c2c4c(n1)CCOC4,1,0,0,
C1C[NH+]=C(N[C@H]1[C@H]2C(=O)NC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N/C(=C/NC(=O)N)/C(=O)N2)CNC(=O)C[C@H](CCC[NH3+])[NH3+])CO)[NH3+])N,1,0,0,
c1c[nH+]ccc1N,1,0,444229,3.172065784643304e-17 0.0 0.0
c1c[nH]nc1CC[NH3+],1,0,6918939,-2.5000000000052758e-05 1.3877787807814457e-17 2.4999999999997247e-05
c1cc(c(c(c1)C(=O)c2ccc(cc2)Br)N)CC(=O)[O-],1,0,16760207,-5.000000000121574e-06 4.999999999999449e-06 -1.2490009027033011e-17
c1cc(c(c(c1)Cl)CC(=O)[NH+]=C(N)N)Cl,1,0,0,
c1cc(c(c(c1)Cl)Cl)c2c(nc(nn2)N)N,1,0,3878,-6.249999999985434e-06 -6.249999999936862e-06 -6.249999999968087e-06
c1cc(c(c(c1)Cl)Cl)N2CC[NH+](CC2)CCCCOc3ccc4c(c3)NC(=O)CC4,1,0,37888405,3.848773152033876e-16 5.921189464667501e-17 -3.3333333333422183e-06
c1cc(c(c(c1)Cl)NC2=[NH+]CCN2)Cl,1,0,5233032,1.5860328923216522e-16 -2.142857142858493e-05 -7.14285714282067e-06
c1cc(c(c(c1)Cl)SC(CCc2ccc(cc2)Cl)Cn3ccnc3)Cl,1,0,47472,7.993605777301127e-17 -1.2000000000007561e-05 8.881784197001253e-18
c1cc(c(c(c1)F)Cn2cc(nn2)C(=O)N)F,1,0,129228,0.0 5.224578939412501e-17 1.1764705882283073e-05
c1cc(c(c2c1[NH+]=C3NC(=O)CN3C2)Cl)Cl,1,0,148827880,-2.7755575615628914e-17 1.3877787807814457e-17 6.250000000000002e-06
c1cc(c(c2c1nccn2)Br)NC3=[NH+]CCN3,1,0,59736263,1.0449157878825003e-16 -1.176470588230593e-05 -5.8823529411709245e-06
c1cc(c(c2c1nsn2)NC3=[NH+]CCN3)Cl,1,0,24848343,5.551115123125783e-17 1.2500000000013368e-05 6.2499999999750255e-06
c1cc(c(cc1/N=N/c2ccc(c(c2)C(=O)[O-])O)C(=O)[O-])O,1,0,0,
c1cc(c(cc1[C@H](C[NH3+])O)O)O,1,0,6921840,8.333333333387927e-06 -8.333333333369422e-06 -8.33333333332432e-06
c1cc(c(cc1[N+](=O)[O-])Cl)NC(=O)c2cc(ccc2O)Cl,1,0,4477,4.761904761978253e-06 -1.3216940769347101e-17 9.523809523811119e-06
c1cc(c(cc1C(F)(F)F)[N+](=O)[O-])C(=O)[C-]2C(=O)CCCC2=O,1,0,86306373,4.34782608683054e-06 -4.347826086980178e-06 -7.165162183382464e-19
c1cc(c(cc1C(=O)Nc2c(cncc2Cl)Cl)OCC3CC3)OC(F)F,1,0,449193,3.8461538461790435e-06 -1.1538461538494428e-05 3.846153846157692e-06
c1cc(c(cc1c2ccc(cc2F)F)C(=O)[O-])O,1,0,54687420,5.555555555616623e-06 -1.2335811384723961e-17 -1.1111111111128391e-05
c1cc(c(cc1C[C@@H](C(=O)[O-])[NH3+])O)O,1,0,6971033,7.1428571428087754e-06 1.4285714285720643e-05 0.0
c1cc(c(cc1CC[NH3+])O)O,1,0,3713609,8.074349270001139e-17 1.818181818181618e-05 9.090909090904305e-06
c1cc(c(cc1Cl)Cl)C(Cn2ccnc2)OCc3ccsc3Cl,1,0,5482,8.69565217387347e-06 8.69565217397001e-06 1.4481169886415085e-17
C1=CC(=C(C=C1Cl)Cl)C(=O)NS(=O)(=O)C2=CC=C(S2)Br,0,1,10160238,1.7763568394002506e-16 1.0000000000032205e-05 -2.2204460492503132e-17
c1cc(c(cc1Cl)Cl)CO/N=C(/Cn2ccnc2)\c3ccc(cc3Cl)Cl,1,0,0,
c1cc(c(cc1Cl)Cl)COC(Cn2ccnc2)c3ccc(cc3Cl)Cl,1,0,4189,4.000000000061732e-06 3.999999999946269e-06 -8.00000000000467e-06
c1cc(c(cc1Cl)O)Oc2ccc(cc2Cl)Cl,1,0,5564,-1.1764705882377768e-05 0.0 5.8823529411766395e-06
c1cc(c(cc1F)F)C(Cn2cncn2)(Cn3cncn3)O,1,0,3365,-4.545454545484324e-06 9.090909090918183e-06 4.545454545464138e-06
c1cc(c(cc1F)F)n2cc(c(=O)c3c2nc(c(c3)F)N4C[C@@H]5[C@H](C4)[C@H]5[NH3+])C(=O)[O-],1,0,11464175,-1.1472304587793285e-16 -1.1842378929335003e-16 6.6666666666502046e-06
c1cc(c(cc1N)C(=O)[O-])O,1,0,54675840,9.090909090867719e-06 1.0092936587501423e-17 1.818181818180987e-05
c1cc(c(cc1N)O)C(=O)[O-],1,0,54690315,9.090909090847532e-06 9.090909090933321e-06 1.818181818181113e-05
c1cc(c(cc1Oc2c(cc(cc2I)C[C@@H](C(=O)[O-])[NH3+])I)I)O,1,0,7048703,-4.347826086946389e-06 8.695652173931395e-06 -9.654113257610057e-18
c1cc(c(cc1OCC(F)(F)F)C(=O)NCC2CCCC[NH2+]2)OCC(F)(F)F,1,0,74546980,-1.0714285714197302e-05 -3.571428571416283e-06 3.5714285714361083e-06
C1CC(C1)(C(=O)O)C(=O)O.N.N.[Pt],0,1,25199580,
c1cc(c2c(c1NCC[NH2+]CCO)C(=O)c3c(ccc(c3C2=O)[O-])[O-])NCC[NH2+]CCO,1,0,0,
C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO,0,1,4212,0.0 1.2499999999998623e-05 9.374999999999808e-06
c1cc(c2c3c1C[C@@H]4[C@]5([C@]3(CC[NH+]4CC6CC6)[C@@H](O2)C(=O)CC5)O)O,1,0,23253567,5.329070518200751e-17 3.999999999990677e-06 -3.999999999990677e-06
c1cc(c2c3c1C[C@@H]4[C@]5([C@]3(CC[NH+]4CC6CCC6)[C@@H](O2)[C@H](CC5)O)O)O,1,0,40467006,3.8461538460594805e-06 7.692307692204362e-06 -2.1350442781253012e-17
c1cc(cc(c1)[131I])C[NH+]=C(N)N,1,0,135977933,8.33333333335092e-06 3.700743415417188e-17 -1.6666666666674084e-05
c1cc(ccc1[C@@H]2[C@H](C(=O)N2c3ccc(cc3)F)CC[C@@H](c4ccc(cc4)F)O)O,1,0,150311,3.3333333335032003e-06 3.23815048849004e-17 9.999999999958191e-06
c1cc(ccc1[C@@H]2CC[NH2+]C[C@H]2COc3ccc4c(c3)OCO4)F,1,0,6955724,-3.3306690738754696e-16 -8.333333333374049e-06 -4.166666666666208e-06
c1cc(ccc1[C@H]([C@@H](CO)NC(=O)[C-](Cl)Cl)O)[N+](=O)[O-],1,0,0,
