iupac,smiles,expt,calc,Description
dibromomethane,C(Br)Br,-1.96,-0.405,"cid is 3024,compound_name is Dibromomethane,cid_paras is 3024,Molecular_Weight is 173.83,XLogP3 is 1.8,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 0,Rotatable_Bond_Count is 0,Exact_Mass is 173.85028,Monoisotopic_Mass is 171.85233,Topological_Polar_Surface_Area is 0,""Unit"":""Å²"",Heavy_Atom_Count is 3,Formal_Charge is 0,Complexity is 2.8,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Dibromomethaneappearsasacolorlessliquidwithapleasantodor.Insolubleinwateranddenserthanwater.Maybetoxicbyingestion.Usedasasolventandasamotorfuel."",""Markup"":[{""Start"":0,""Length"":14,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Dibromomethane"",""Type"":""PubChemInternalLink"",""Extra"":""CID-3024"",Color/Form is Clear,colorlessliquid,Boiling_Point is 206.6°Fat760mmHg(USCG,1999),Melting_Point is -62.5°F(USCG,1999),Solubility is 11.70g/1000gwater@15°C;11.93g/1000gwater@30°C"",""Markup"":[{""Start"":15,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"",Density is 2.497at68°F(USCG,1999)-Denserthanwater;willsink"",""Markup"":[{""Start"":42,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
2-methylpentan-3-ol,CC[C@H](C(C)C)O,-3.88,-2.416,"cid is 6999801,compound_name is (3R)-2-methylpentan-3-ol,cid_paras is 6999801,Molecular_Weight is 102.17,XLogP3 is 1.8,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 1,Rotatable_Bond_Count is 2,Exact_Mass is 102.104465066,Monoisotopic_Mass is 102.104465066,Topological_Polar_Surface_Area is 20.2,""Unit"":""Å²"",Heavy_Atom_Count is 7,Formal_Charge is 0,Complexity is 41.4,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 1,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
2-ethylpyridine,CCc1ccccn1,-4.33,-3.31,"cid is 7523,compound_name is 2-Ethylpyridine,cid_paras is 7523,Molecular_Weight is 107.15,XLogP3 is 1.7,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 1,Rotatable_Bond_Count is 1,Exact_Mass is 107.073499291,Monoisotopic_Mass is 107.073499291,Topological_Polar_Surface_Area is 12.9,""Unit"":""Å²"",Heavy_Atom_Count is 8,Formal_Charge is 0,Complexity is 61.4,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Colorlessliquidwithanunpleasantodor;[AlfaAesarMSDS]"
ethyl pentanoate,CCCCC(=O)OCC,-2.49,-3.11,"cid is 10882,compound_name is Ethyl valerate,cid_paras is 10882,Molecular_Weight is 130.18,XLogP3 is 1.9,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 2,Rotatable_Bond_Count is 5,Exact_Mass is 130.099379685,Monoisotopic_Mass is 130.099379685,Topological_Polar_Surface_Area is 26.3,""Unit"":""Å²"",Heavy_Atom_Count is 9,Formal_Charge is 0,Complexity is 79,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Liquid,Boiling_Point is 144.00to145.00°C.@760.00mmHg,Melting_Point is -91.2°C,Solubility is 2.21mg/mLat25°C,Density is 0.870-0.875"
benzenethiol,c1ccc(cc1)S,-2.55,-1.501,"cid is 7969,compound_name is Benzenethiol,cid_paras is 7969,Molecular_Weight is 110.18,XLogP3 is 2.5,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 1,Rotatable_Bond_Count is 0,Exact_Mass is 110.01902136,Monoisotopic_Mass is 110.01902136,Topological_Polar_Surface_Area is 1,""Unit"":""Å²"",Heavy_Atom_Count is 7,Formal_Charge is 0,Complexity is 46.1,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Phenylmercaptanappearsasaclearliquidwitharepulsiveodor.Boilingpoint168.3°C.Insolubleinwateranddenserthanwater.Verytoxicbyingestion,skinabsorption,andbyinhalation.Usedasachemicalintermediateandinmosquitocontrol."",""Markup"":[{""Start"":0,""Length"":16,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Phenyl%20mercaptan"",""Type"":""PubChemInternalLink"",""Extra"":""CID-7969"",Color/Form is Water-whiteliquid,Odor is Repulsive,penetrating,garlic-likeodor,especiallywhenimpure,Boiling_Point is 334.9°Fat760mmHg(EPA,1998),Melting_Point is 5.4°F(EPA,1998),Flash_Point is 127°F(USCG,1999),Solubility is 0.08%at77°F(NIOSH,2024),Density is 1.0728at77°F(EPA,1998)-Denserthanwater;willsink"",""Markup"":[{""Start"":42,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
"(2Z)-3,7-dimethylocta-2,6-dien-1-ol",CC(=CCC/C(=C\CO)/C)C,-4.78,-2.597,"cid is 10326,compound_name is Indan,cid_paras is 10326,Molecular_Weight is 118.18,XLogP3 is 3.2,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 0,Rotatable_Bond_Count is 0,Exact_Mass is 118.078250319,Monoisotopic_Mass is 118.078250319,Topological_Polar_Surface_Area is 0,""Unit"":""Å²"",Heavy_Atom_Count is 9,Formal_Charge is 0,Complexity is 84.2,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Liquid;[MerckIndex]Clearlightyellowliquid;[Sigma-AldrichMSDS]"
indane,c1ccc2c(c1)CCC2,-1.46,-1.752,"cid is 7674,compound_name is Phenetole,cid_paras is 7674,Molecular_Weight is 122.16,XLogP3 is 2.5,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 1,Rotatable_Bond_Count is 2,Exact_Mass is 122.073164938,Monoisotopic_Mass is 122.073164938,Topological_Polar_Surface_Area is 9.2,""Unit"":""Å²"",Heavy_Atom_Count is 9,Formal_Charge is 0,Complexity is 65,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Colorlessliquid;[Hawley],Color/Form is OILYLIQ,Odor is DISTINCTIVEODOR,Boiling_Point is 171-173°C,Melting_Point is -30.0°C,Flash_Point is 145°F(63°C)OC,Solubility is SOLINETHANOL,ETHER,CARBONTETRACHLORIDE"",""Markup"":[{""Start"":7,""Length"":7,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/ETHANOL"",""Type"":""PubChemInternalLink"",""Extra"":""CID-702"",Density is 0.967@20°C/4°C"
ethoxybenzene,CCOc1ccccc1,-2.22,-2.254,"cid is 7808,compound_name is 4-Bromophenol,cid_paras is 7808,Molecular_Weight is 173.01,XLogP3 is 2.6,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 1,Rotatable_Bond_Count is 0,Exact_Mass is 171.95238,Monoisotopic_Mass is 171.95238,Topological_Polar_Surface_Area is 20.2,""Unit"":""Å²"",Heavy_Atom_Count is 8,Formal_Charge is 0,Complexity is 66.9,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Solid;[MerckIndex]Off-whitecrystallinepowderwithaphenolicodor;[AlfaAesarMSDS],Color/Form is Tetragonalbipyramidalcrystalsfromchloroformorether"",""Markup"":[{""Start"":37,""Length"":10,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/chloroform"",""Type"":""PubChemInternalLink"",""Extra"":""CID-6212,Boiling_Point is 238°C,Melting_Point is 66.4°C,Solubility is Freelysolubleinalcohol,chloroform,ether,glacialaceticacid"",""Markup"":[{""Start"":27,""Length"":10,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/chloroform"",""Type"":""PubChemInternalLink"",""Extra"":""CID-6212"",Density is 1.840g/cucmat15°C"
4-bromophenol,c1cc(ccc1O)Br,-5.85,-5.833,"cid is 11542,compound_name is 2,2-Dimethylpentane,cid_paras is 11542,Molecular_Weight is 100.20,XLogP3 is 3.6,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 0,Rotatable_Bond_Count is 2,Exact_Mass is 100.125200510,Monoisotopic_Mass is 100.125200510,Topological_Polar_Surface_Area is 0,""Unit"":""Å²"",Heavy_Atom_Count is 7,Formal_Charge is 0,Complexity is 38.5,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Clearcolorlessliquid;[Sigma-AldrichMSDS]"
"2,2-dimethylpentane",CCCC(C)(C)C,2.88,2.686,"cid is 8121,compound_name is Ethylene glycol diacetate,cid_paras is 8121,Molecular_Weight is 146.14,XLogP3 is 0,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 4,Rotatable_Bond_Count is 5,Exact_Mass is 146.05790880,Monoisotopic_Mass is 146.05790880,Topological_Polar_Surface_Area is 52.6,""Unit"":""Å²"",Heavy_Atom_Count is 10,Formal_Charge is 0,Complexity is 114,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Ethyleneglycoldiacetateisacolorlessliquidwithamildpleasantodor.Density9.2lb/gal.Flashpoint191°F.Boilingpoint369°F.Combustiblebutrequiressomeefforttoignite.Usedinthemanufactureofperfumes,printingink,lacquersandresins."",""Markup"":[{""Start"":0,""Length"":25,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Ethylene%20glycol%20diacetate"",""Type"":""PubChemInternalLink"",""Extra"":""CID-8121,Color/Form is COLORLESSLIQ,Odor is SLIGHTODOROFETHYLACETATE"",""Markup"":[{""Start"":15,""Length"":13,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/ETHYL%20ACETATE"",""Type"":""PubChemInternalLink"",""Extra"":""CID-8857,Boiling_Point is 367to369°Fat760mmHg(NTP,1992),Melting_Point is -24°F(NTP,1992),Flash_Point is 205°F(NTP,1992),Solubility is greaterthanorequalto100mg/mLat68°F(NTP,1992),Density is 1.104at68°F(USCG,1999)-Denserthanwater;willsink"",""Markup"":[{""Start"":42,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
2-acetoxyethyl acetate,CC(=O)OCCOC(=O)C,-6.34,-8.292,"cid is 3286,compound_name is Ethion,cid_paras is 3286,Molecular_Weight is 384.5,XLogP3 is 5.1,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 8,Rotatable_Bond_Count is 12,Exact_Mass is 383.98761787,Monoisotopic_Mass is 383.98761787,Topological_Polar_Surface_Area is 152,""Unit"":""Å²"",Heavy_Atom_Count is 19,Formal_Charge is 0,Complexity is 279,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Ethionisacolorlessorambercoloredliquidwithadisagreeableodor.Itisawettableemulsifiableliquid.Itistoxicbyinhalation,skinabsorption,and/oringestion.Itburns,butisnoteasilyignited.Firemayproducetoxicandirritatingfumes.Itisusedasapesticide.Maybefoundintheformofadrymixturewheretheliquidisabsorbedontoadrycarrier."",""Markup"":[{""Start"":0,""Length"":6,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Ethion"",""Type"":""PubChemInternalLink"",""Extra"":""CID-3286,Color/Form is Water-whitetoamber-coloredliquid"",""Markup"":[{""Start"":0,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962,Odor is Odorless[Note:Thetechnicalproducthasaverydisagreeableodor].,Boiling_Point is Decomposesabove302.0°F(USCG,1999),Melting_Point is 9to10°F(EPA,1998),Flash_Point is 349°F(NIOSH,2024),Solubility is 0.0001%(NIOSH,2024),Density is 1.215to1.23at68°F(EPA,1998)"
ethion,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-6.1,-10.644,"cid is 10399,compound_name is Cycloheptanol,cid_paras is 10399,Molecular_Weight is 114.19,XLogP3 is 1,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 1,Rotatable_Bond_Count is 0,Exact_Mass is 114.104465066,Monoisotopic_Mass is 114.104465066,Topological_Polar_Surface_Area is 20.2,""Unit"":""Å²"",Heavy_Atom_Count is 8,Formal_Charge is 0,Complexity is 53.4,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
